AuthName,ID,ArtTitle,PubDate,Source,Service,AuthSex,AuthRank,PolicySecurity,PersTroopSpt,GenAdvice,PolicySocial,Party,PolAdminName,Result,Justification,Details
"Mariner, Rosemary",1,Adm. Zumwalt Changed My Life,2000-01-09,WaPo,Navy ,F,6,,1,,,,,,,
"Davis, M. Thomas",1,Operation Dire Straits; Here's Why the Military is Failing to Attract the Right Recruits,2000-01-16,WaPo,Army,M,6,,,1,,,,,,
"Scott, James",1,"Sticking Point; In Defending Its Troops Against Anthrax, The Pentagon Has Injected Distrust Instead",2000-01-30,WaPo,Army,M,9,,,1,,,,,,
"Sinnreich, Richard",1,Honoring Uncommon Valor,2000-07-09,WaPo,Army,M,6,,1,,,,,,,
"Sinnreich, Richard",1,Don't Discount Cold War Lessons,2000-07-24,WaPo,Army,M,6,,,1,,,,,,
"Crowe, William",1,Still Not Safe Overseas: How Our Embassies Can Be Better Protected,2000-08-07,WaPo,Navy,M,10,1,,,,,,,,
"Shalikashvili, John and Perry, William",1,The U.S. Military: Still the Best By Far,2000-08-10,WaPo,Army,M,10,,,1,,,,,,
"Sinnreich, Richard",1,False Fights About Readiness,2000-08-14,WaPo,Army,M,6,,,1,,,,,,
"Odom, William",1,A Disaster Puts Putin in a Bind,2000-08-20,NYT,Army,M,9,,,1,,,,,,
"Krepinevich, Andrew",1,Ready for the Wrong War,2000-09-01,WSJ,Army,M,6,,,1,,,,,,
"Clark, Wesley",1,Ready or What?,2000-09-08,WaPo,Army,M,10,1,,,,,,,,
"Holloway, James",1,Pearl Harbor Scapegoat,2000-10-06,WaPo,Navy,M,10,,,1,,,,,,
"Clark, Wesley",1,Risking the Alliance,2000-12-08,WaPo,Army,M,10,,,1,,,,,,
"Shalakasvili, John",1,The Test Ban Solution,2001-01-06,WaPo,Army,M,10,,,1,,,,,,
"Sinnreich, Richard",1,Up-or-Out: It's No Be-All and End-All,2001-07-05,WaPo,Army,M,6,,,1,,,,,,
"Clark, Wesley",1,A Month in Macedonia Will Not Be Enough,2001-08-17,NYT,Army,M,10,1,,,,,,,,
"Boyd, Charles",1,Vulnerable to Hate,2001-09-12,WaPo,Air Force,M,10,,,1,,,,,,
"Clark, Wesley",1,Neglected Allies,2002-02-01,WaPo,Army,M,10,1,,,,,,,,
"Sullivan, Gordon",1,Why We Need Crusader,2002-05-16,WaPo,Army,M,10,1,,,,,,,,
"Habiger, Eugene and Perry, William and Nunn, Sam",1,Still Missing: A Nuclear Strategy,2002-05-21,WaPo,Air Force,M,10,1,,,,,,,,
"Haig, Alexander",1,"On Invading Iraq: Less Talk, More Unity",2002-08-29,WaPo,Army,M,10,,,1,,,,,,
"McInerney, Thomas",1,Liberation Blitz,2002-10-11,WSJ,Air Force,M,9,,,1,,,,,,
"McInerney, Thomas",1,Friendly Fire: From Tragedy to Justice,2003-01-21,WSJ,Air Force,M,9,,,1,,,,,,
"Shalikashvili, John and Carter, Ash and Perry, William",1,A Scary Thought: Loose Nukes in North Korea,2003-02-06,WSJ,Army,M,10,1,,,,,,,,
"Blair, Dennis and Reeder, Joe",1,A Multicultural Military,2003-03-22,WaPo,Navy,M,10,,,,1,,,Questionable,Topic,The authors tie a pending Supreme Court Decision regarding affirmative action to military readiness.
"Hoar, Joseph",1,Why Aren't There Enough Troops in Iraq,2003-04-02,NYT,Marine Corps,M,10,1,,,,,,,,
"McPeak, Merrill",1,Shock and Pause,2003-04-02,NYT,Air Force,M,10,1,,,,,,,,
"McPeak, Merrill",1,Leave the Flying to Us,2003-06-05,WaPo,Air Force,M,10,1,,,,,,,,
"McCaffrey, Barry",1,We Need More Troops,2003-07-29,WSJ,Army ,M,10,1,,,,,,,,
"McInerney, Thomas and Woolsey, James",1,The Next Korean War,2003-08-04,WSJ,Air Force,M,9,,,1,,,,,,
"Trainor, Bernard",1,"An Attack Strategy to Win: The More Troops We Array Against Iraq, the Less Resistance We Will Face",2003-09-18,WaPo,Marine Corps,M,9,1,,,,,,,,
"Hoar, Joseph and Klass, Richard",1,A Risky Strain on an Overstretched Army,2003-10-12,WaPo,Marine Corps and Air Force,M,"10, 6",,,1,,,,,,
"Meigs, Montgomery",1,"We Weren't Prepared to Stay, But We Must",2003-10-12,WaPo,Army,M,10,1,,,,,,,,
"Bacevich, Andrew",1,"Lower Expectations, Set a Date, and Leave",2003-10-12,WaPo,Army,M,6,1,,,,,,,,
"Downing, Wayne",1,"Hearts and Minds? First, Just Win",2003-12-07,WaPo,Army,M,10,1,,,,,,,,
"Goodpaster, Andrew",1,"George Marshall's Worls, and Ours",2003-12-11,NYT,Army,M,10,,,1,,,,,,
"Anderson, Gary",1,On Patrol with Iraq's 'Homeboys',2004-01-28,WaPo,Marine Corps,M,6,,1,,,,,,,
"Clark, Wesley",1,Medals of Honor,2004-04-28,NYT,Army,M,10,,,,,1,,Inappropriate,Political Leaning,"The author calls on President Bush to denounce calls made by others attacking Democratic Candidate John Kerry's Vietnam War Record.  Clark previously dropped out of the race 60 days before the op-ed publication, and should no longer be commenting on these types of issues. "
"Whitlow, William",1,The Price of Giving Bad Advice,2004-05-30,WaPo,Marine Corps,M,8,,,1,,,,,,
"McFarlane, Robert",0,"Over the Past 30 Years, through….",2004-08-01,WaPo,Marine Corps,M,5,,,1,,,,,,
"Franks, Tommy",1,War of Words,2004-10-19,NYT,Army,M,10,,,,,,1,Inappropriate,Political Leaning,Defense of President George W. Bush 
"Franks, Tommy",1,"Right Leader, Right Time",2004-11-01,WSJ,Army,M,10,,,,,,1,Inappropriate,Political Leaning,Endorsement of George W. Bush for President
"DeLong, Michael",1,Setting the Record Straight on Tora Bora,2004-11-01,WSJ,Marine Corps,M,9,1,,,,,,,,
"Krohn, Charles",1,"In Iraq, Echoes of Another Offensive",2004-12-29,WaPo,Army,M,5,,,1,,,,,,
"Clark, Wesley",1,Set Kosovo Free,2005-02-01,WSJ,Army,M,10,1,,,,,,,,
"Ralston, Joseph and Pickering, Thomas",1,America's New Beginning with India,2005-03-15,WSJ,Air Force,M,10,,,1,,,,,,
"Clark, Wesley",1,Before It's Too Late in Iraq,2005-08-26,WaPo,Army,M,10,1,,,,,,,,
"Clark, Wesley",1,The Next Iraq Offensive,2005-12-06,NYT,Army,M,10,1,,,,,,,,
"Hansen, Victor",1,No Secrety Rules on Torture,2005-12-15,WaPo,Army,M,5,,,1,,,,,,
"Eaton, Paul",1,A Top-Down Review for the Pentagon,2006-03-19,NYT,Army,M,8,,,,,,1,Inappropriate,Political Leaning,Attack of Secretary of Defense Donald Rumsfeld
"Crosby, John and McInerney, Thomas and Moore, Burton and Vallely, Paul",1,In Defense of Donald Rumsfeld,2006-04-17,WSJ,"Army, Air Force, Air Force, Army",M ,"9,9,8,8",,,,,,1,Inappropriate,Political Leaning,Defense of Secretary of Defense Donald Rumsfeld
"Bacevich, Andrew",0,What's an Iraqi Life Worth,2006-07-09,WaPo,Army,M,6,,,1,,,,,,
"Haseman, John and Lachica, Eduardo",1,Military Thais,2006-10-09,WSJ,Army,M,6,,,1,,,,,,
"Murtha, John",1,Confessions of a 'Defeatocrat',2006-10-15,WaPo,Marine Corps,M,6,,,,,,1,,,
"Eaton, Paul",1,An Army of One Less,2006-11-10,NYT,Army,M,8,,,,,,1,Inappropriate,Political Leaning,Jab at Secretary of Defense Donald Rumsfeld after 2006 midterm elections
"Clark, Wesley",1,Next Move in Iraq? The Right Approach is One that Addresses U.S. Interests in the Entire Region,2006-11-21,USA Today,Army,M,10,1,,,,,,,,
"Hammes, T.X.",1,The Way to Win a Guerilla War,2006-11-26,WaPo,Marine Corps,M,6,,,1,,,,,,
"McCaffrey, Barry",1,Beyond Baker-Hamilton: One Approch to a Last Try at Stability in Iraq,2006-12-13,WaPo,Army,M,10,1,,,,,,,,
"Ryan, Kevin",1,Stretched Too Thin; We Don't Have Enough Troops to Meet Defense Demands,2006-12-18,WaPo,Army,M,7,1,,,,,,,,
"Shalikashvili, John",1,Second Thoughts on Gays in the Military,2007-01-02,NYT,Army,M,10,,,,1,,,Permissible,N/A,"The author is clearly addressing a past opinion he had regarding DADT, and the specific military implications of the policy."
"Clark, Wesley",1,The Smart Surge: Diplomacy,2007-01-08,WaPo,Army,M,10,,,1,,,,,,
"Eaton, Paul",1,Casualties of the Budget Wars,2007-03-06,NYT,Army,M,8,,,1,,,,,,
"McInerney, Thomas",1,Iran Escalates,2007-03-30,WSJ,Air Force,M,9,,,1,,,,,,
"Clark, Vern and Pickering, Thomas",1,A Treaty that Lifts All Boats,2007-07-14,NYT,Navy,M,10,1,,,,,,,,
"Clark, Wesley and Raustiala, Kal",1,Why Terrorists Aren't Soldiers,2007-08-08,NYT,Army,M,10,,,,,,1,Questionable,Topic,"The authors invoke America's commitment to ""political traditions and liberty"" in making their argument. They are not necessarily wrong, but is it appropriate for military officers to advance this argument?"
"McCain, John and Lieberman, Joe",0,Listening to Petraeus,2007-09-10,WSJ,Navy,M,6,1,,,,,,,,
"Willbanks, James",0,"Winning the Battle, Losing the War",2008-03-05,NYT,Army,M,5,1,,,,,,,,
"Buzby, Mark",1,Guantanamo is a Model Prison (Really),2008-06-04,WSJ,Navy,M,8,,,1,,,,,,
"Fallon, William",1,Surge Protector,2008-07-20,NYT,Navy,M,10,1,,,,,,,,
"Clark, Wesley",1,What's Good for G.M. is Good for the Army,2008-11-16,NYT,Army,M,10,,,1,,,,,,
"Mansoor, Peter",0,How to Leave Iraq -- Intact,2008-11-23,NYT,Army,M,6,1,,,,,,,,
"Owens, William",1,A Lean War Machine,2008-12-21,NYT,Navy,M,10,,,1,,,,,,
"Wald, Charles ",1,There is a Military Option on Iran,2009-08-07,WSJ,Air Force,M,10,1,,,,,,,,
"McPeak, Merrill",1,Why We Need the F-22,2009-08-10,WSJ,Air Force,M,10,1,,,,,,,,
"McPeak, Merrill",1,10 Steps to Victory in Afghanistan: Polls Have the Power,2009-10-04,NYT,Air Force,M,10,,,1,,,,,,
"Eisenhower, John",1,How Generals Should Talk to Presidents,2009-10-18,NYT,Army,M,7,,,1,,,,,,
"Geraghty, Timothy",1,Iran Expands its Target List; I was the Commander in Beirut in 1983. I've Seen these Tactics Before.,2010-01-03,WSJ,Marine Corps,M,6,,,1,,,,,,
"McPeak, Merrill",1,"Don't Ask, Don't Tell, Don't Change",2010-03-05,NYT,Air Force,M,10,,,,1,,,Permissible,N/A,The author directly addresses the implications for the military of repealing DADT.
"Ralston, Joseph",1,Why the Pentagon Needs Friends in Beijing,2010-03-05,WSJ,Air Force,M,10,,,1,,,,,,
"Sheehan, Michael",1,The Terrorist Next Door,2010-05-04,NYT,Army,M,5,,,1,,,,,,
"Hockley, Ralph",1,"The Forgotten War, Remembered: Pinned Down at Busan",2010-06-25,NYT,Army,M,UNK,1,,,,,,,,
"Bacevich, Andrew",0,The Making of Four Star Arrogance,2010-06-27,WaPo,Army,M,6,,,1,,,,,,
"Zinni, Anthony",1,Peace Building that Pays Off,2011-03-08,NYT,Marine Corps,M,10,,,1,,,,,,
"Allen, Thad and Armitage, Richard and Hamre, John",1,Odd Man Out at Sea,2011-04-25,NYT,Coast Guard,M,10,1,,,,,,,,
"Dubik, James",1,Finish the Job,2011-04-26,NYT,Army,M,9,1,,,,,,,,
"Jones, James and Clark, Vern, and England, Gordon",1,The Necessity of U.S. Naval Power,2011-07-11,WSJ,Marine Corps and Navy,M,10,,,1,,,,,,
"Bacevich, Andrew",1,"The Army isn’t like corporate America. It's retirement shouldn't be, either. ",2011-08-21,WaPo,Army,M,6,,,1,,,,,,
"Bacevich, Andrew",1,It's Not America's World Anymore,2011-12-18,WaPo,Army,M,6,,,1,,,,,,
"Jones, James and Grumet, Jason",1,Let's Keep Our Hands off the Emergency Oil Supply,2012-04-10,NYT,Marine Corps,M,10,,,1,,,,,,
"Bacevich, Andrew",0,"A Soldier's Misconduct, A General's Responsibility",2012-04-22,WaPo,Army,M,6,,,1,,,,,,
"Clark, Wesley and Hunt, Swanee",1,Bosnia Still Needs Fixing,2012-05-04,NYT,Army,M,10,1,,,,,,,,
"Mullen, Mike and Cohen, Steven",1,Let's Serve Those Who Defended Us,2012-05-11,WaPo,Navy,M,10,,1,,,,,,,
"McChrystal, Stanley ",1,"From Forward Operating Base to Boardroom: Over the Next Five Years, more than one million military service members will return from active duty",2012-05-20,WSJ,Army,M,10,,,1,,,,,,
"Keane, Jack and O'Hanlon, Michael and Morgenthau, Robert",1,We Needed the Veterans -- Now they Need Us,2012-07-05,WSJ,Army,M,10,,,1,,,,,,
"Collins, Michael",1,The Neill ArmstrongI Knew,2012-09-13,WaPo,Air Force,M,8,,1,,,,,,,
"Keane, Jack",1,Al Qaeda is Making a Comeback,2012-10-23,WSJ,Army,M,10,,,1,,,,,,
UNK,1,Recalling the Cuban Missile Crisis,2012-10-28,WaPo,Navy,M,5,,,1,,,,,,
"Myers, Richard and Casey, George",1,"Beyond the Memorial, a Vietnam War Education",2012-11-27,WSJ,Air Force and Army,M,10,,1,,,,,,,
"Barno, David and Irvine, Matthew",1,"A Job That 10,000 Troops Can Handle",2012-12-02,WaPo,Army,M,9,1,,,,,,,,
"Reimer, Dennis and Chiarelli, Peter",1,Allow the Military to Prevent Suicide,2012-12-09,WaPo,Army,M,10,,,1,,,,,,
"Bacevich, Andrew",1,"Ten Years Ago, the Iraq War Began…So, Did We Win?",2013-03-10,WaPo,Army,M,6,,,1,,,,,,
"Cooper, Scott",1,Moral and Strategic,2013-04-07,WaPo,Marine Corps,M,5,1,,,,,,,,
"Petraeus, David and O'Hanlon, Michael",1,America's Opportunity,2013-04-08,WaPo,Army,M,10,,,1,,,,,,
"Loh, John",1,Redundancy in the Armed Forces,2013-04-28,WaPo,Air Force,M,10,,,1,,,,,,
UNK,1,Leadership and Screening Will End Military's Sexual Assualt Problem,2013-05-15,WaPo,Air Force,UNK,8,,,1,,,,,,
"Keane, Jack and Pletka, Danielle",1,How to Stop Assad's Slaughter,2013-05-22,WSJ,Army,M,10,1,,,,,,,,
"McChrystal, Stanley ",1,Lincoln's Call to Service - and Ours,2013-05-29,WSJ,Army,M,10,,,1,,,,,,
"Clark, Wesley",1,A Dangerous Disconnect With China,2013-06-07,WaPo,Army,M,10,,,1,,,,,,
"Clark, Wesley",1,"To Get a Syrian Truce, Be Ready to Escalate",2013-06-19,NYT,Army,M,10,1,,,,,,,,
"Deptula, David",1,America's No Fly Zones Are Already in Place,2013-06-23,WSJ,Air Force,M,9,1,,,,,,,,
"Roughead, Gary",1,How We Lost the Seas: What Will Happen should American Sea Power Wane and China Replace the US as the Guarantor of Maritime Security?,2013-07-14,WSJ,Navy,M,10,,,1,,,,,,
"Petraeus, David and O'Hanlon, Michael",1,"Compromise Not a Dirty Budget Word; in fact, the Federal Government is se up for conciliation. Washington, just do it. ",2013-08-05,USA Today,Army,M,10,,,1,,,,,,
