AuthName,ID,ArtTitle,PubDate,Source,Service,AuthSex,AuthRank,PolicySecurity,PersTroopSpt,GenAdvice,PolicySocial,Party,PolAdminName,Result,Justification,Details
"Scales, Robert",1,A War the Pentagon Doesn't Want,2013-09-06,WaPo,Army,M,8,,,,,,1,Permissible,N/A,"The author is critical of President Obama in Syria, but not to the point that it is inappropriate. "
"Barno, David ",1,Who Decides When We Go To War,2013-09-13,WaPo,Army,M,9,,,1,,,,,,
"McCain, John",0,He Beat Us in War But Never in Battle,2013-10-06,WSJ,Navy,M,6,,,1,,,,,,
"Mullen, Mike",1,They Did Not Die in Vain,2013-11-19,WaPo,Navy,M,10,,1,,,,,,,
"Allen, John",1,Ignore Karzai's Arrogance,2013-11-29,NYT,Marine Corps,M,10,1,,,,,,,,
"Sullivan, Gordon",1,Pay Worthy of the Hardships,2014-01-06,WaPo,Army,M,10,,1,,,,,,,
UNK,1,Mr. Gates's Ill-Considered Complaints,2014-01-12,WaPo,Air Force,UNK,8,,1,,,,,,,
UNK,1,Part of a General's Tale Was Left Out,2014-02-01,WaPo,Air Force,M,6,,,1,,,,,,
"Petraeus, David",1,Democracy Dividends from the Afghanistan Investment,2014-04-09,WSJ,Army,M,10,,,1,,,,,,
"Petraeus, David and Serchuk, Vance",1,The Day After an Iran Deal,2014-04-10,WaPo,Army,M,10,1,,,,,,,,
"Gentile, Gian",1,We Need a Fighting Army,2014-04-18,WaPo,Army,M,6,1,,,,,,,,
"Davis, M. Thomas",1,The Right Soldier for the VA,2014-05-23,WaPo,Army,M,6,,1,,,,,,,
"McRaven, William",1,Life Lessons from Navy SEAL Training,2014-05-24,WSJ,Navy,M,10,,,1,,,,,,
"Honore, Russell",1,Safeguarding Louisiana's Coastline,2014-05-29,NYT,Army,M,9,,,1,,,,,,
"Slear, Thomas",1,My Military Benefits Are Too Generous,2014-06-08,WaPo,Army,M,5,1,,,,,,,,
"Keane, Jack",1,A Plan to Save Iraq from ISIS and Iran,2014-06-16,WSJ,Army,M,10,1,,,,,,,,
"Abizaid, John and Brooks, Rosa",1,We Need a Rulebook for Drones,2014-06-27,WaPo,Army,M,10,1,,,,,,,,
"Barno, David ",1,The Army's Next Enemy? Peace.,2014-07-13,WaPo,Army,M,9,1,,,,,,,,
"Hayden, Michael and Bayh, Evan",0,A Doubly Dangerous Iran,2014-07-17,WSJ,Air Force,M,10,1,,,,,,,,
"Taguba, Antonio",1,Stop the CIA Spin on Torture,2014-08-08,NYT,Army,M,8,,,1,,,,,,
"Jones, James",1,How to Save Iraq and Honor American Sacrifice,2014-08-14,WSJ,Marine Corps,M,10,,,1,,,,,,
"Keane, Jack and Pletka, Danielle",1,An American-Led Coalition Can Defeat ISIS,2014-08-24,WSJ,Army,M,10,1,,,,,,,,
"McChrystal, Stanley ",1,A Service Year to Build American Community,2014-11-16,WaPo,Army,M,10,,,1,,,,,,
"Hayden, Michael and Mukasey, Michael",1,NSA Reform that Only ISIS Could Love,2014-11-17,WSJ,Air Force,M,10,,,,,1,,Permissible,N/A,"Critical of the 113th Congress, but in general terms."
"Scales, Robert",1,"To Stop the Terrorists, Take Away Their Hope",2015-01-25,WaPo,Army,M,8,1,,,,,,,,
UNK,1,The Best and the Brightest,2015-01-28,WaPo,Air Force,UNK,5,,,1,,,,,,
"Stone, Douglas and Atran, Scott",1,A Heroic Stand Against ISIS,2015-03-18,NYT,Marine Corps,M,8,1,,,,,,,,
"Anderson, Gary",1,Street Fighting,2015-03-25,WaPo,Marine Corps,M,6,,,1,,,,,,
"Cartwright, James and Dvorkin, Vladimir",1,How to Avert a Nuclear War,2015-04-20,NYT,Marine Corps,M,10,1,,,,,,,,
"Mattis, James",1,The Meaning of Their Service,2015-04-20,WSJ,Marine Corps,M,10,,1,,,,,,,
"Harvey, Derek and Rickfels, Norman",1,Islamic State is Winning in Iraq,2015-05-20,WSJ,Army,M,6,1,,,,,,,,
"Deptula, David",1,Bombing Our Way to Victory,2015-06-06,WaPo,Air Force,M,9,1,,,,,,,,
"Kelly, Paul",1,Veterans Want an Ike Memorial,2015-06-14,WaPo,Marine Corps,M,10,,1,,,,,,,
"Shelton, William",1,American Security After the SpaceX Explosion,2015-07-01,WSJ,Air Force,M,10,1,,,,,,,,
"Petraeus, David and O'Hanlon, Michael",1,Afghanistan After Obama,2015-07-08,WaPo,Army,M,10,,,,,,1,Permissible,N/A,The authors address actions that the next administration after Obama should take in Afghanistan.
"Scales, Robert",1,Our Army is Breaking,2015-08-02,WaPo,Army,M,8,1,,,,,,,,
UNK x 2,1,Sen. Graham's Military Service,2015-08-07,WaPo,Army and Air Force,UNK,"UNK, 10",,1,,,,,,,
"Odierno, Raymond",1,This is no Time to Cut the Army,2015-08-17,WSJ,Army,M,10,1,,,,,,,,
"Petraeus, David and Ross, Dennis",1,The Bite in the Iran Nuclear Deal,2015-08-26,WaPo,Army,M,10,,,1,,,,,,
"Roughead, Gary",1,America Falls Behind Russia in the Arctic Oil Race,2015-08-27,WSJ,Navy,M,10,,,1,,,,,,
UNK,1,Hilary Clinton's E-mail Behavior Was Not Business as Usual,2015-09-01,WaPo,Air Force,UNK,6,,1,,,,,,,
"Petraeus, David and O'Hanlon, Michael",1,Rebuild American Success; Economic Growth Should Be at the Top of Policy Agenda for US Leaders,2015-10-14,USA Today,Army,M,10,,,1,,,,,,
"Scales, Robert",1,Western Europe's Precarious Defenses,2015-12-01,WSJ,Army,M,8,1,,,,,,,,
UNK,1,Civilians Did Not Prosecute Soldier,2015-12-24,WaPo,Navy,UNK,UNK,,1,,,,,,,
"Petraeus, David and O'Hanlon, Michael",1,Unleash US Air Power in Afghanistan,2016-01-15,WaPo,Army,M,10,1,,,,,,,,
"Schwartz, Norton and Stavridis, James",1,A Quick Fix for the U.S. Icebreaker Gap,2016-02-04,WSJ,Air Force and Navy,M,10,,,1,,,,,,
"Krepinevich, Andrew",1,Overhauling the US Army for the Age of Irregular Warfare,2016-02-22,WSJ,Army,M,6,1,,,,,,,,
"Blair, Dennis and Hornung, Jeffrey",1,China's Self-Defeating Provocations,2016-03-03,WaPo,Navy,M,10,,,1,,,,,,
"Petraeus, David",1,5 Big Ideas to Guide Us in the Long War,2016-04-17,WaPo,Army,M,10,,,1,,,,,,
UNK,1,The Senate Slights Military Leaders,2016-04-30,WaPo,Navy,UNK,UNK,,,1,,,,,,
UNK,1,Fists Raised at West Point,2016-05-13,WaPo,Army,M,6,,,,1,,,,,
"Petraeus, David and O'Hanlon, Michael",1,Take the Gloves Off Against the Taliban,2016-05-23,WSJ,Army,M,10,1,,,,,,,,
"Stavridis, James and Allen, John",1,Expanding the U.S. Military's Smart-Power Toolbox,2016-06-10,WSJ,Navy and Marine Corps,M,10,,,1,,,,,,
"McChrystal, Stanley ",1,Home Should Not Be a War Zone,2016-06-18,NYT,Army,M,10,,,,,1,,Questionable,Topic,The author addresses domestic violence and makes comments about the 2nd amendment
"Anderson, Gary",1,Red Cross Killed Non-Lethal Weapons,2016-06-24,WSJ,Marine Corps,M,6,,,1,,,,,,
"Dempsey, Martin",1,Military Leaders Should be Apolitical,2016-07-31,WaPo,Army,M,10,,,1,,,,,,
"Petraeus, David and O'Hanlon, Michael",1,The Myth of a U.S. Military 'Readiness' Crisis,2016-08-11,WSJ,Army,M,10,,,1,,,,,,
"Petraeus, David",1,"For Mosul, Learning From 2003",2016-08-14,WaPo,Army,M,10,1,,,,,,,,
"Cartwright, James and Blair, Bruce",1,End Nuclear First-Use Policy,2016-08-16,NYT,Marine Corps,M,10,,,1,,,,,,
"Lash, Fred",1,A Mud Soldier and Media Peacemaker,2016-08-28,WaPo,Marine Corps,M,4,,,1,,,,,,
"Keane, Jack and Apgar IV, Mahlon",1,The Army Offers a Model for Broader Defense Reform,2016-08-31,WSJ,Army,M,10,,,1,,,,,,
"Mullen, Mike",1,A Sharper Focus on North Korea,2016-09-16,WaPo,Navy,M,10,,,1,,,,,,
"McCain, John",0,"We Have a Stake in Syria, Yet We Have Done Nothing",2016-12-23,WaPo,Navy,M,6,,1,,,,,,,
"Hayden, Michael",1,The Travel Ban Hurts American Spies - and America,2017-02-06,WaPo,Air Force,M,10,,,,,,1,Questionable,Topic,The author takes issue with President Trump's executive order suspending immigration from several countries.
"Mullen, Mike",1,Bannon Has No Place on the NSC,2017-02-06,NYT,Navy,M,10,,,,,,1,Questionable,Topic,The author raises concerns about who President Trump puts on the NSC.  
"Hayden, Michael",0,Donald Trump is Undermining Intelligence Gathering,2017-03-09,NYT,Air Force,M,10,,,,,,1,Permissible,N/A,The author raises concerns regarding President Trump's policies and intelligence without blatantly attacking the administration.
"McCain, John and Graham, Lindse",0,Why We Need More Forces to End the Stalemate in Afghanistan,2017-03-14,WaPo,Navy and Air Force,M,"6, 6",1,,,,,,,,
"McChrystal, Stanley ",1,Save PBS. It Makes Us Safer. ,2017-04-05,NYT,Army,M,10,,,1,,,,,,
"Sweeney, John",1,Back the Talk With More Ground Forces in South Korea,2017-04-18,WaPo,Army,M,6,1,,,,,,,,
"Wald, Charles and Makovsky, Michael",1,"The Two Faces of Qatar, a Dubious Mideast Ally",2017-04-25,WSJ,Air Force,M,10,,,1,,,,,,
"Petraeus, David and O'Hanlon, Michael",1,Getting an Edge in the Long Afghan Struggle,2017-06-26,WSJ,Army,M,10,1,,,,,,,,
"Griffith, Ronald",1,The United States Should Support the Kurds' Move Towards Independence,2017-07-03,WaPo,Army,M,10,1,,,,,,,,
"Casey, George",1,Veterans of the War on Terror Deserve a Memorial on the Wall,2017-07-23,WaPo,Army,M,10,,1,,,,,,,
"Blair, Dennis and Alexander, Keith",1,China's Intellectual Property Theft Must Stop,2017-08-15,NYT,Army and Navy,M,10,,,1,,,,,,
"Stavridis, James and Bergenas, Johan",1,The Fishing Wars are Coming,2017-09-13,WaPo,Navy,M,10,,,1,,,,,,
"Mullen, Mike",1,The Refugees We Need,2017-09-29,NYT,Navy,M,10,,,,,,1,Questionable,Topic,"The author asserts that President Trump's stance on refugees will have drastic consequences for the country, including several non-military implications. "
"McCain, John",0,I Choose the Kurds,2017-10-25,NYT,Navy,M,6,1,,,,,,,,
"Cartwright, James and Perry, William ",1,We Can Cut Back Our Nuclear Arsenal,2017-11-17,WaPo,Marine Corps,M,10,,,1,,,,,,
"McPeak, Merrill",1,Bombing the Ho Chi Minh Trail; Vietnam '67,2017-12-26,NYT,Air Force,M,10,,,1,,,,,,
"Wilkerson, Lawrence ",1,A Familiar Road to War,2018-02-06,NYT,Army,M,6,,,1,,,,,,
"McRaven, William",1,"Take My Security Clearance, too, Mr. President",2018-08-17,WaPo,Navy,M,10,,,,,,1,Inappropriate,Political Leaning,The author takes a jab at the President. 
"Bacevich, Andrew",0,The Forgotten Lessons of Black Hawk Down,2018-10-04,NYT,Army,M,6,,,1,,,,,,
"Wilkerson, Lawrence and Wilson III, Isaiah and Adams, Gordon",1,Trump's Border Stunt is a Profound Betrayal of Our Military,2018-11-22,NYT,Army,M,6,,,,,,1,Questionable,"Topic, Political Leaning",The authors seem to know the President's intentions as they write this article and take a very strong stance on the issue. Do they have the knowledge to know the President's intent?
"McChrystal, Stanley ",1,Good Riddance,2018-11-25,WaPo,Army,M,10,,,,1,,,Questionable,Topic,The author is addressing the rightness / wrongness of Confederate battle monuments remaining in place.  Does he possess unique experience that makes him qualified on this topic?
"Nagl, John",1,Retired Generals Warned Us About Rumsfeld. Now They're Warning Us About Trump,2019-01-11,WaPo,Army,M,5,,,,,,1,Inappropriate,Political Leaning,The author joins in on why we should listen to generals warning us about President Trump.
"Johnson, Wayne",1,Yet Another Insult to Women,2019-02-06,WaPo,Navy,M,UNK,,1,,,,,,,
"Allen, John and Victor, David",1,"Despite What Trump Says, Climate Change Threatens Our National Security",2019-03-07,NYT,Marine Corps,M,10,,,,,,1,Inappropriate ,"Topic, Political Leaning","The authors assert that President Trump is wrong on climate change. Again, are military officers in a position of expertise on that topic?"
"Mullen, Michael",1,Banning Transgender Troops Only Hurts Us,2019-03-19,WaPo,Navy,M,10,,,,1,,,Questionable,"Topic, Political Leaning",The author takes issue with the President over a topic that is rightfully the President's to address.
"Keane, Jack and Graham, Lindsey",1,Call Iran's Bluff with an Offer of Nuclear Power,2019-07-15,WSJ,Army,M,10,,,1,,,,,,
"Snodgrass, Guy",1,The Pentagon Needs Real - not Acting - Leaders,2019-07-17,WaPo,Navy,M,5,,,1,,,,,,
"VanLandingham, Rachel and Corn, Geoffrey",0,"If We Want Troops to Follow Orders, We Should Trust Their Justice System",2019-08-02,WaPo,"Air Force, Army",M,5,,,,,,1,Permissible,N/A,The authors showcase some of the potential problems regarding the President's handling of military criminal cases.
"Brown, Heidi",1,The Trust About General John Hyten,2019-08-08,WSJ,Army,F,8,,1,,,,,,,
"Petraeus, David and Serchuk, Vance",1,The U.S. Abandoned Iraq. Don't Repeat History in Afghanistan. ,2019-08-10,WSJ,Army,M,10,1,,,,,,,,
"Keane, Jack and Graham, Lindsey",1,We Can't Outsource our Security to Anyone - Especially the Taliban,2019-08-29,WaPo,"Army, Air Force",M,"10, 6",1,,,,,,,,
"Hertling, Mark and Natter, Robert",1,Cutting Refugee Admissions Will Have Severe Consequences for the US Military ,2019-09-08,WaPo,"Army, Navy",M ,"9, 10",,,,1,,,Questionable,Topic,The authors discuss a topic outside of their area of expertise. 
"Bacevich, Andrew",0,Saudi Arabia is No Friend of America,2019-09-17,NYT,Army,M,6,1,,,,,,,,
"McRaven, William",1,Our Republic is Under Attack From the President,2019-10-19,NYT,Navy,M,10,,,,,,1,Inappropriate,"Topic, Political Leaning",The author blatantly attacks President Trump.
"Petraeus, David and Serchuk, Vance",1,Trump Was Right to Abandon the Peace Deal. Here's What a Good One Would Look Like. ,2019-11-14,WaPo,Army,M,10,1,,,,,,,,
"Votel, Joseph",1,Ending America's Endless War in Afghanistan,2019-12-13,NYT,Army,M,10,1,,,,,,,,
"McRaven, William",1,"If Good Men Can’t Speak the Truth, We Should Be Deeply Afraid",2020-02-22,WaPo,Navy,M,10,,,,,,1,Inappropriate,"Topic, Political Leaning",The author comments on the general political atmosphere.
"McRaven, William",1,The Dawn Seems a Long Way Off. But Hope Abounds. ,2020-03-20,WaPo,Navy,M,10,,,1,,,,,,
"McChrystal, Stanley and Fussell, Chris",1,9/11's Lessons on Crisis Leadership,2020-03-24,NYT,Army,M,10,,,1,,,,,,
"Kelly, Scott",0,"I Spent a Year in Space, and I Have Tips on Isolation to Share",2020-03-24,NYT,Navy,M,6,,,1,,,,,,
"Stavridis, James",1,What Was Life Like for Sailors During the Battle of the Atlantic?,2020-04-14,NYT,Navy,M,10,,,1,,,,,,